Timestamp,Accelerometer,Encoder,Potentiometer,Pushbutton,Switch
3101,0,-1,48,0,0
3134,0,-1,48,0,0
3887,341,-1,487,0,0
3953,343,-1,487,0,0
4052,344,-1,487,0,0
4117,346,-1,487,0,0
4184,338,-1,487,0,0
4249,335,-1,487,0,0
4315,327,-1,487,0,0
4380,337,-1,487,0,0
4479,332,-1,487,0,0
4545,329,-1,487,0,0
4610,318,-1,487,0,0
4676,315,-1,487,0,0
4741,311,-1,487,0,0
4807,302,-1,487,0,0
4905,291,-1,487,0,0
4971,287,-1,487,0,0
5038,287,-1,487,0,0
5104,290,-1,487,0,0
5169,291,-1,487,0,0
5267,293,-1,487,0,0
5334,297,-1,487,0,0
5400,302,-1,487,0,0
5532,305,-1,487,0,0
5693,305,-1,487,0,0
5822,302,-1,487,0,0
5927,303,-1,487,0,0
6032,302,-1,487,0,0
6098,293,-1,487,0,0
6164,320,-1,487,0,0
6230,299,-1,487,0,0
6295,293,-1,487,0,0
6369,300,-1,487,0,0
6434,290,-1,487,0,0
6502,301,-1,487,0,0
6567,302,-1,487,0,0
6633,302,-1,487,0,0
6698,299,-1,487,0,0
6764,298,-1,487,0,0
6830,308,-1,487,0,0
6895,305,-1,487,0,0
6961,306,-1,487,0,0
7028,305,-1,487,0,0
7094,297,-1,487,0,0
7160,292,-1,487,0,0
7226,292,-1,487,0,0
7291,290,-1,487,0,0
7367,290,-1,487,0,0
7438,282,-1,487,0,0
7504,292,-1,487,0,0
7569,305,-1,487,0,0
7635,328,-1,487,0,0
7701,325,-1,487,0,0
7766,336,-1,487,0,0
7832,343,-1,487,0,0
7897,340,-1,487,0,0
7963,336,-1,487,0,0
8029,345,-1,487,0,0
8094,345,-1,487,0,0
8160,352,-1,487,0,0
8226,363,-1,487,0,0
8291,369,-1,487,0,0
8356,370,-1,487,0,0
8422,368,-1,487,0,0
8488,369,-1,487,0,0
8554,362,-1,487,0,0
8620,359,-1,487,0,0
8686,359,-1,487,0,0
8752,361,-1,487,0,0
8826,361,-1,487,0,0
8891,360,-1,487,0,0
8957,363,-1,487,0,0
9024,367,-1,487,0,0
9089,369,-1,487,0,0
9155,369,-1,487,0,0
9220,365,-1,487,0,0
9286,366,-1,487,0,0
9353,361,-1,487,0,0
9418,367,-1,487,0,0
9483,369,-1,487,0,0
9549,365,-1,487,0,0
9615,369,-1,487,0,0
9680,373,-1,487,0,0
9746,374,-1,487,0,0
9812,374,-1,487,0,0
9878,3,-1,487,0,0
9976,369,-1,487,0,0
10042,371,-1,487,0,0
10107,373,-1,487,0,0
10173,374,-1,487,0,0
10239,371,-1,487,0,0
10338,368,-1,487,0,0
10403,365,-1,487,0,0
10469,367,-1,487,0,0
10535,372,-1,487,0,0
10600,373,-1,487,0,0
10666,374,-1,487,0,0
10764,373,-1,487,0,0
10830,373,-1,487,0,0
10895,375,-1,487,0,0
10961,373,-1,487,0,0
11027,374,-1,487,0,0
11126,372,-1,487,0,0
11192,371,-1,487,0,0
11258,373,-1,487,0,0
11324,374,-1,487,0,0
11390,372,-1,487,0,0
11455,371,-1,487,0,0
11554,369,-1,487,0,0
11620,372,-1,487,0,0
11685,371,-1,487,0,0
11750,373,-1,487,0,0
11816,375,-1,487,0,0
11882,374,-1,487,0,0
11980,374,-1,487,0,0
12046,372,-1,487,0,0
12112,373,-1,487,0,0
12177,373,-1,487,0,0
12243,375,-1,487,0,0
12309,376,-1,487,0,0
12407,374,-1,487,0,0
12474,372,-1,487,0,0
12540,372,-1,487,0,0
12606,376,-1,487,0,0
12671,377,-1,487,0,0
12770,374,-1,487,0,0
12835,373,-1,487,0,0
12901,372,-1,487,0,0
12967,372,-1,487,0,0
13033,375,-1,487,0,0
13099,376,-1,487,0,0
13197,374,-1,487,0,0
13262,372,-1,487,0,0
13330,374,-1,487,0,0
13411,373,-1,487,0,0
13483,372,-1,487,0,0
13549,373,-1,487,0,0
13614,373,-1,487,0,0
13680,374,-1,487,0,0
13746,372,-1,487,0,0
13811,367,-1,487,0,0
13909,373,-1,487,0,0
13975,375,-1,487,0,0
14040,376,-1,487,0,0
14106,374,-1,487,0,0
14172,375,-1,487,0,0
14238,378,-1,487,0,0
14336,377,-1,487,0,0
14401,377,-1,487,0,0
14467,367,-1,487,0,0
14532,374,-1,487,0,0
14598,377,-1,487,0,0
14696,373,-1,487,0,0
14762,376,-1,487,0,0
14829,378,-1,487,0,0
